continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Europe,Estonia,44079,2456,12,16.143,64,0,0,1851.434,9.046,12.169,48.246,0,0,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74
Africa,Ethiopia,44079,56516,1303,1196.571,880,24,17.429,491.599,11.334,10.408,7.655,0.209,0.152,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6
Europe,Faeroe Islands,44079,413,1,0.286,0,0,0,8451.857,20.465,5.847,0,0,0,48865,35.308,,,,,,,,,,,,80.67
South America,Falkland Islands,44079,13,0,0,0,0,0,3732.415,0,0,0,0,0,3483,,,,,,,,,,,,,81.44
Oceania,Fiji,44079,31,0,0.429,2,0,0,34.581,0,0.478,2.231,0,0,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44
Europe,Finland,44079,8225,25,26.143,335,0,0,1484.465,4.512,4.718,60.461,0,0,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91
Europe,France,44079,309156,8975,6011.286,30686,0,12.857,4736.316,137.498,92.094,470.114,0,0.197,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66
Oceania,French Polynesia,44079,632,36,30.286,0,0,0,2249.879,128.158,107.815,0,0,0,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
Africa,Gabon,44079,8601,63,13.714,53,0,0,3864.354,28.305,6.162,23.812,0,0,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47
Africa,Gambia,44079,3120,19,46.143,99,0,0.429,1291.036,7.862,19.094,40.966,0,0.177,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05
Asia,Georgia,44079,1596,28,19.143,19,0,0,400.083,7.019,4.799,4.763,0,0,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77
Europe,Germany,44079,248997,2049,1144.429,9324,5,5,2971.894,24.456,13.659,111.286,0.06,0.06,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
Africa,Ghana,44079,44777,64,118.286,283,3,1.857,1441.029,2.06,3.807,9.108,0.097,0.06,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07
Europe,Gibraltar,44079,305,10,4.429,0,0,0,9052.863,296.815,131.447,0,0,0,33691,3457.1,,,,,,,,,,,,79.93
Europe,Greece,44079,11200,202,200,279,1,2.857,1074.541,19.38,19.188,26.768,0.096,0.274,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24
North America,Greenland,44079,14,0,0,0,0,0,246.6,0,0,0,0,0,56772,0.137,,,,,,199.941,2.16,,,,,71.7
North America,Grenada,44079,24,0,0,0,0,0,213.297,0,0,0,0,0,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4
Oceania,Guam,44079,1619,59,47.429,14,1,0.571,9592.198,349.561,281.003,82.947,5.925,3.386,168783,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07
North America,Guatemala,44079,77040,682,588.429,2825,21,16.571,4300.171,38.067,32.845,157.684,1.172,0.925,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3
Europe,Guernsey,44079,252,0,0,13,0,0,3758.277,0,0,193.879,0,0,67052,,,,,,,,,,,,,
Africa,Guinea,44079,9579,53,46.857,61,1,0.286,729.396,4.036,3.568,4.645,0.076,0.022,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6
Africa,Guinea-Bissau,44079,2245,40,13.714,38,4,0.714,1140.753,20.325,6.969,19.309,2.033,0.363,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32
South America,Guyana,44079,1416,15,33.714,44,0,1.286,1800.246,19.07,42.863,55.94,0,1.635,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91
North America,Haiti,44079,8326,25,23.571,212,2,1.571,730.189,2.192,2.067,18.592,0.175,0.138,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64
North America,Honduras,44079,63798,640,712.571,1984,30,22.429,6441.244,64.616,71.943,200.311,3.029,2.264,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27
Europe,Hungary,44079,7382,459,267.286,621,1,1,764.155,47.514,27.668,64.283,0.104,0.104,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88
Europe,Iceland,44079,2135,7,6.143,10,0,0,6256.41,20.513,18.001,29.304,0,0,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99
Asia,India,44079,4023179,86432,79886.714,69561,1089,1001.571,2915.338,62.632,57.889,50.406,0.789,0.726,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
Asia,Indonesia,44079,187537,3269,3092.857,7832,82,94.714,685.634,11.951,11.307,28.634,0.3,0.346,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72
Asia,Iran,44079,382772,2026,1837.286,22044,118,113.571,4557.192,24.121,21.874,262.451,1.405,1.352,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68
Asia,Iraq,44079,252075,5036,4066.143,7359,84,77.857,6267.014,125.204,101.091,182.957,2.088,1.936,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6
Europe,Ireland,44079,29303,97,103.429,1777,0,0,5934.429,19.644,20.946,359.877,0,0,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3
Europe,Isle of Man,44079,336,0,0,24,0,0,3951.454,0,0,282.247,0,0,85032,147.872,,,,,,,,,,,,81.4
Asia,Israel,44079,126419,1159,2059.857,993,8,14.143,14605.557,133.903,237.981,114.724,0.924,1.634,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97
Europe,Italy,44079,274644,1732,1319.286,35518,11,6.571,4542.436,28.646,21.82,587.445,0.182,0.109,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51
North America,Jamaica,44079,2964,68,136.143,30,1,1.571,1000.959,22.964,45.976,10.131,0.338,0.531,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47
Asia,Japan,44079,70876,608,636.143,1349,19,13.429,560.389,4.807,5.03,10.666,0.15,0.106,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63
Europe,Jersey,44079,383,2,1.429,32,0,0,3789.34,19.788,14.134,316.603,0,0,101073,,,,,,,,,,,,,
Asia,Jordan,44079,2301,68,61.714,16,0,0.143,225.519,6.665,6.049,1.568,0,0.014,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53
Asia,Kazakhstan,44079,133028,104,426.857,1893,0,16,7084.735,5.539,22.733,100.816,0,0.852,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6
Africa,Kenya,44079,34884,179,179.143,589,4,3.143,648.748,3.329,3.332,10.954,0.074,0.058,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
Europe,Kosovo,44079,13748,78,115.714,538,9,7.143,7113.092,40.357,59.87,278.356,4.657,3.696,1932774,168.155,,,,9795.834,0.6,,,,,,,
Asia,Kuwait,44079,88243,865,666.429,537,1,1.714,20663.084,202.549,156.052,125.745,0.234,0.401,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49
Asia,Kyrgyzstan,44079,44316,89,86.286,1060,0,0.429,6792.566,13.642,13.226,162.472,0,0.066,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45
Asia,Laos,44079,22,0,0,0,0,0,3.024,0,0,0,0,0,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92
Europe,Latvia,44079,1416,6,5.857,35,1,0.143,750.715,3.181,3.105,18.556,0.53,0.076,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29
Asia,Lebanon,44079,19490,527,553.857,183,4,5,2855.493,77.211,81.146,26.811,0.586,0.733,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93
Africa,Lesotho,44079,1148,63,13.857,31,0,0,535.885,29.408,6.468,14.471,0,0,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33
Africa,Liberia,44079,1306,0,1.143,82,0,0,258.221,0,0.226,16.213,0,0,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1
Africa,Libya,44079,16445,672,545.143,262,8,5.143,2393.293,97.798,79.336,38.13,1.164,0.748,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91
Europe,Liechtenstein,44079,108,0,0.286,1,0,0,2831.896,0,7.492,26.221,0,0,38137,237.012,,,,,,,7.77,,,,2.397,82.49
Europe,Lithuania,44079,3004,26,27.714,86,0,0,1103.482,9.551,10.181,31.591,0,0,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93
Europe,Luxembourg,44079,6854,109,39.143,124,0,0,10949.302,174.128,62.531,198.091,0,0,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25
Europe,Macedonia,44079,14762,162,119.286,606,0,3.143,7085.601,77.758,57.256,290.873,0,1.509,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8
Africa,Madagascar,44079,15187,81,70.143,198,1,1.571,548.445,2.925,2.533,7.15,0.036,0.057,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04
Africa,Malawi,44079,5608,15,12.143,175,0,0.143,293.153,0.784,0.635,9.148,0,0.007,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26
Asia,Malaysia,44079,9374,0,9.714,128,0,0.429,289.625,0,0.3,3.955,0,0.013,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16
Asia,Maldives,44079,8361,80,127.429,29,0,0.143,15467.808,148,235.742,53.65,0,0.264,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92
Africa,Mali,44079,2814,7,11.143,126,0,0,138.957,0.346,0.55,6.222,0,0,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31
Europe,Malta,44079,1984,19,23.429,13,0,0.429,4493.374,43.031,53.061,29.442,0,0.971,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53
Africa,Mauritania,44079,7126,20,21.286,160,0,0.286,1532.585,4.301,4.578,34.411,0,0.061,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92
Africa,Mauritius,44079,356,0,1.429,10,0,0,279.925,0,1.123,7.863,0,0,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99
North America,Mexico,44079,623090,6196,5336,66851,522,529.286,4832.674,48.056,41.386,518.495,4.049,4.105,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05
Europe,Moldova,44079,38906,534,428.857,1047,11,9.429,9644.61,132.376,106.312,259.546,2.727,2.337,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9
Europe,Monaco,44079,147,4,3.143,1,0,0,3745.796,101.926,80.085,25.482,0,0,39244,19347.5,,,,,,,5.46,,,,13.8,86.75
Asia,Mongolia,44079,306,0,0.714,0,0,0,93.341,0,0.218,0,0,0,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87
Europe,Montenegro,44079,5275,110,87.429,106,2,2,8398.852,175.142,139.204,168.773,3.184,3.184,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88
North America,Montserrat,44079,13,0,0,1,0,0,2600.52,0,0,200.04,0,0,4999,,,,,,,,,,,,,74.16
Africa,Morocco,44079,65855,0,1052.286,1253,0,28.714,1784.178,0,28.509,33.947,0,0.778,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68
Africa,Mozambique,44079,4265,58,81.143,26,0,0.714,136.456,1.856,2.596,0.832,0,0.023,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85
Asia,Myanmar,44079,1216,83,80,7,0,0.143,22.349,1.525,1.47,0.129,0,0.003,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13
Africa,Namibia,44079,8323,241,202.429,86,0,3,3275.59,94.848,79.668,33.846,0,1.181,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71
Asia,Nepal,44079,44236,1359,1111.429,271,14,10.857,1518.217,46.642,38.145,9.301,0.48,0.373,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78
Europe,Netherlands,44079,73136,744,581.857,6228,2,2.429,4268.255,43.42,33.957,363.469,0.117,0.142,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28
Oceania,New Caledonia,44079,26,0,0.429,0,0,0,91.071,0,1.501,0,0,0,285491,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55
Oceania,New Zealand,44079,1413,0,5.286,22,0,0,293.018,0,1.096,4.562,0,0,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29
North America,Nicaragua,44079,4494,0,0,137,0,0,678.385,0,0,20.681,0,0,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48
Africa,Niger,44079,1177,0,0.286,69,0,0,48.623,0,0.012,2.85,0,0,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42
Africa,Nigeria,44079,54743,156,180.857,1051,3,5.714,265.563,0.757,0.877,5.098,0.015,0.028,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69
Oceania,Northern Mariana Islands,44079,57,0,0.143,2,0,0,990.323,0,2.482,34.748,0,0,57557,119.878,,,,,,194.994,,,,,,76.74
Europe,Norway,44079,11120,85,82.429,264,0,0,2051.19,15.679,15.205,48.697,0,0,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4
Asia,Oman,44079,86380,0,196.429,705,0,7.857,16915.292,0,38.465,138.056,0,1.539,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86
Asia,Pakistan,44079,298025,513,379,6340,5,8,1349.187,2.322,1.716,28.702,0.023,0.036,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27
Asia,Palestine,44079,32817,729,672.429,192,3,4.571,6432.92,142.902,131.812,37.637,0.588,0.896,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05
North America,Panama,44079,95596,682,710.286,2063,17,13.857,22155.537,158.062,164.617,478.125,3.94,3.212,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51
