continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Asia,Sri Lanka,44079,3115,4,18,12,0,0,145.471,0.187,0.841,0.56,0,0,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98
Africa,Sudan,44079,13189,0,20.571,823,0,0,300.78,0,0.469,18.769,0,0,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31
South America,Suriname,44079,4252,37,57.714,75,2,1.286,7248.131,63.072,98.382,127.848,3.409,2.192,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68
Africa,Swaziland,44079,4780,60,45.571,94,0,0.429,4120.107,51.717,39.28,81.023,0,0.369,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19
Europe,Sweden,44079,84985,0,133.286,5835,0,0.857,8414.965,0,13.198,577.765,0,0.085,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8
Europe,Switzerland,44079,43424,297,312,1731,1,1,5017.437,34.317,36.05,200.009,0.116,0.116,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78
Asia,Syria,44079,3041,68,68.286,127,3,3.429,173.765,3.886,3.902,7.257,0.171,0.196,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7
Asia,Taiwan,44079,490,0,0.286,7,0,0,20.574,0,0.012,0.294,0,0,23816775,,42.2,,8.353,,,103.957,,,,,,80.46
Asia,Tajikistan,44079,8724,34,34.714,69,0,0.143,914.691,3.565,3.64,7.234,0,0.015,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1
Africa,Tanzania,44079,509,0,0,21,0,0,8.521,0,0,0.352,0,0,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46
Asia,Thailand,44079,3431,0,2.857,58,0,0,49.155,0,0.041,0.831,0,0,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15
Asia,Timor,44079,27,0,0,0,0,0,20.479,0,0,0,0,0,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5
Africa,Togo,44079,1457,14,13.143,31,0,0.571,175.993,1.691,1.588,3.745,0,0.069,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04
North America,Trinidad and Tobago,44079,2040,56,69.429,31,2,1.714,1457.673,40.015,49.61,22.151,1.429,1.225,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51
Africa,Tunisia,44079,4394,0,133.286,84,0,1.429,371.786,0,11.278,7.107,0,0.121,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7
Asia,Turkey,44079,276555,1612,1577.143,6564,53,45.571,3279.085,19.113,18.7,77.829,0.628,0.54,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69
North America,Turks and Caicos Islands,44079,577,22,12.429,5,1,0.286,14902.629,568.211,321.002,129.139,25.828,7.379,38718,37.312,,,,,,,,,,,,80.22
Africa,Uganda,44079,3353,65,85.286,35,2,1,73.304,1.421,1.865,0.765,0.044,0.022,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37
Europe,Ukraine,44079,130951,2723,2350.571,2723,13,40.714,2994.277,62.263,53.747,62.263,0.297,0.931,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06
Asia,United Arab Emirates,44079,72766,612,552.143,387,0,1.143,7357.235,61.878,55.826,39.129,0,0.116,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97
Europe,United Kingdom,44079,342351,1940,1529.571,41537,10,7.286,5043.028,28.577,22.531,611.864,0.147,0.107,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32
North America,United States,44079,6201726,51071,40612.429,187765,968,856,18736.182,154.292,122.695,567.261,2.924,2.586,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86
North America,United States Virgin Islands,44079,1150,0,10.714,16,0,0.286,11012.899,0,102.605,153.223,0,2.736,104423,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58
South America,Uruguay,44079,1653,17,13.857,45,1,0.286,475.858,4.894,3.989,12.954,0.288,0.082,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91
Asia,Uzbekistan,44079,42998,93,292.143,338,2,4.714,1284.704,2.779,8.729,10.099,0.06,0.141,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72
Europe,Vatican,44079,12,0,0,0,0,0,14833.127,0,0,0,0,0,809,,,,,,,,,,,,,75.12
South America,Venezuela,44079,50973,1096,1013.429,412,10,7.714,1792.555,38.543,35.639,14.489,0.352,0.271,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06
Asia,Vietnam,44079,1046,0,1.143,35,0,0.571,10.746,0,0.012,0.36,0,0.006,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4
Africa,Western Sahara,44079,766,0,0,1,0,0,1282.373,0,0,1.674,0,0,597330,,28.4,,1.38,,,,,,,,,70.26
Asia,Yemen,44079,1983,3,5.714,572,0,1.286,66.486,0.101,0.192,19.178,0,0.043,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12
Africa,Zambia,44079,12639,116,122.857,292,0,1.286,687.502,6.31,6.683,15.883,0,0.07,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89
Africa,Zimbabwe,44079,6837,159,64.143,206,0,1.571,460.004,10.698,4.316,13.86,0,0.106,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49
