location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
United States Virgin Islands,03-09-2020,1144,15,10955.441,143.647,104423,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58
Oman,03-09-2020,85928,689,16826.779,134.923,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86
Kuwait,03-09-2020,86478,535,20249.789,125.276,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49
Suriname,03-09-2020,4149,72,7072.553,122.734,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68
Bahamas,03-09-2020,2337,47,5942.815,119.517,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92
Russia,03-09-2020,1005000,17414,6886.653,119.328,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58
El Salvador,03-09-2020,25904,739,3993.709,113.934,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32
Saudi Arabia,03-09-2020,317486,3956,9119.527,113.633,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13
Aruba,03-09-2020,2211,12,20708.84,112.395,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29
Israel,03-09-2020,122539,969,14157.29,111.951,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97
Bahrain,03-09-2020,52440,190,30818.361,111.661,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29
Germany,03-09-2020,246116,9321,2937.508,111.25,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
World,03-09-2020,26059065,863535,3343.135,110.783,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58
Denmark,03-09-2020,17195,626,2968.646,108.076,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9
Serbia,03-09-2020,31581,716,4641.128,105.223,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76
Turks and Caicos Islands,03-09-2020,555,4,14334.418,103.311,38718,37.312,,,,,,,,,,,,80.22
Albania,03-09-2020,9728,296,3380.36,102.856,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57
Kazakhstan,03-09-2020,132354,1889,7048.84,100.603,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6
Bulgaria,03-09-2020,16454,642,2368.012,92.395,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05
Costa Rica,03-09-2020,43305,453,8500.988,88.926,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
Austria,03-09-2020,28183,734,3129.219,81.498,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54
Swaziland,03-09-2020,4668,94,4023.569,81.023,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19
Guam,03-09-2020,1447,13,8573.138,77.022,168783,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07
Turkey,03-09-2020,273301,6462,3240.503,76.619,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69
Cape Verde,03-09-2020,4048,41,7280.733,73.743,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98
Belarus,03-09-2020,72141,691,7634.517,73.127,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79
Qatar,03-09-2020,119206,199,41375.744,69.072,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23
Sao Tome and Principe,03-09-2020,896,15,4088.319,68.443,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39
Hungary,03-09-2020,6622,619,685.482,64.076,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88
Slovenia,03-09-2020,2988,128,1437.276,61.57,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32
Ukraine,03-09-2020,125789,2656,2876.245,60.731,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06
Djibouti,03-09-2020,5387,60,5452.418,60.729,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11
Finland,03-09-2020,8161,336,1472.914,60.642,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91
Equatorial Guinea,03-09-2020,4965,83,3538.883,59.16,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74
Poland,03-09-2020,68517,2078,1810.387,54.906,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73
Maldives,03-09-2020,8140,29,15058.959,53.65,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92
Egypt,03-09-2020,99280,5461,970.153,53.364,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99
Azerbaijan,03-09-2020,36732,538,3622.78,53.062,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73
Guyana,03-09-2020,1382,41,1757.02,52.126,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91
Paraguay,03-09-2020,19138,358,2683.199,50.193,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25
India,03-09-2020,3853406,67376,2792.314,48.823,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
Norway,03-09-2020,10871,264,2005.26,48.697,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4
Estonia,03-09-2020,2415,64,1820.527,48.246,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74
Croatia,03-09-2020,10725,191,2612.497,46.526,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49
