location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Cameroon,03-09-2020,19460,415,733.071,15.633,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29
Cayman Islands,03-09-2020,205,1,3119.294,15.216,65720,256.496,,,,49903.029,,,13.22,,,,,83.92
Lesotho,03-09-2020,1085,31,506.476,14.471,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33
Venezuela,03-09-2020,48883,398,1719.057,13.996,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06
Zimbabwe,03-09-2020,6638,206,446.615,13.86,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49
Central African Republic,03-09-2020,4712,62,975.617,12.837,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28
Uruguay,03-09-2020,1626,44,468.085,12.667,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91
Kenya,03-09-2020,34493,577,641.476,10.731,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
Japan,03-09-2020,69599,1319,550.292,10.429,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63
Uzbekistan,03-09-2020,42540,329,1271.019,9.83,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72
Malawi,03-09-2020,5579,175,291.637,9.148,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26
Jamaica,03-09-2020,2822,27,953.005,9.118,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47
Sierra Leone,03-09-2020,2029,71,254.357,8.901,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7
